project,has_finish
facebookresearch/MUSE,0
luanfujun/deep-photo-styletransfer,0
ageitgey/face_recognition,0
tensorflow/magenta,0
deepmind/sonnet,0
PAIR-code/deeplearnjs,0
lengstrom/fast-style-transfer,0
deepmind/pysc2,0
Microsoft/AirSim,0
PAIR-code/facets,0
lllyasviel/style2paints,0
tensorflow/tensor2tensor,0
junyanz/pytorch-CycleGAN-and-pix2pix,0
facebookresearch/faiss,0
zalandoresearch/fashion-mnist,0
facebookresearch/ParlAI,0
facebookresearch/fairseq,0
uber/pyro,0
junyanz/iGAN,0
DmitryUlyanov/deep-image-prior,0
oarriaga/face_classification,0
buriburisuri/speech-to-text-wavenet,0
yunjey/StarGAN,0
Unity-Technologies/ml-agents,0
AKSHAYUBHAT/DeepVideoAnalytics,0
OpenNMT/OpenNMT,0
NVIDIA/pix2pixHD,0
uber/horovod,0
MrNothing/AI-Blocks,0
deep-voice-conversion,0
